server_id,user_id
BBG001M8HHB7,NASDAQ:TRIP
BBG001KY4N87,NYSE:ARMK
BBG001KY3845,NYSE:ALSN
BBG001KWG293,NYSE:GRUB
BBG001KJ7WJ5,NASDAQ:AERI
BBG001J4BCN4,NASDAQ:COUP
BBG001J1QN87,NASDAQ:ICPT
BBG001HRFJG4,NYSE:ZEN
BBG001DCCGR8,NYSE:MPC
BBG001D8G1B3,NYSE:INXN
BBG001CGB489,NYSE:VEEV
BBG001C7TST4,NASDAQ:SPLK
BBG001B4BV87,NYSE:FBHS
BBG0019V9M65,NASDAQ:TNDM
BBG0019T5SG0,NYSE:TDOC
BBG0019LSQ49,NYSE:FRC
BBG0019JZ882,NYSE:KMI
BBG0018YXYX7,NASDAQ:PBYI
BBG0018SLDN0,NASDAQ:DBX
BBG0018SLC07,NYSE:SQ
BBG0016WLQ18,NYSE:GNC
BBG0016WLGY4,NASDAQ:TSG
BBG0016T3GQ0,NASDAQ:VC
BBG001636CR2,NASDAQ:FIVE
BBG0014XR0N5,NYSE:CHGG
BBG0014GJCT9,NYSE:PANW
BBG0014FFY08,NASDAQ:HZNP
BBG000VPGNR2,NASDAQ:CHTR
BBG000VD6768,NASDAQ:ZNGA
BBG000VC0T95,NASDAQ:WDAY
BBG000V1Y6Q3,NYSE:IPI
BBG000TVRB50,NASDAQ:TREE
BBG000TRJ294,NYSE:AWK
BBG000TJM7F0,NYSE:KDP
BBG000TCD088,NYSE:DAN
BBG000TBYFR3,NYSE:PAGP
BBG000RTDY25,NYSE:MSCI
BBG000RQ2GY7,NASDAQ:PFPT
BBG000RJ2J04,NASDAQ:SSNC
BBG000RD3CL8,NYSE:FNV
BBG000R8ZVD1,NASDAQ:LULU
BBG000R8RSL8,NASDAQ:PTLA
BBG000R7Z112,NYSE:DAL
BBG000R7RDB4,NYSE:CXO
BBG000R4Y9C1,NYSE:AVLR
BBG000R33BD1,NASDAQ:RETA
BBG000QY4ZD0,NASDAQ:AGIO
BBG000QY3XZ2,NASDAQ:EXPE
BBG000QX74T1,NYSE:CMG
BBG000QW7VC1,NYSE:HCA
BBG000QS6NV8,NASDAQ:MDGL
BBG000QRKJ70,NASDAQ:GRPN
BBG000QNRY51,NASDAQ:ARAY
BBG000QN4GY3,NYSE:RLGY
BBG000QL9YL7,NASDAQ:GLUU
BBG000QL8VH9,NASDAQ:XON
BBG000QHV8S1,NYSE:CVI
BBG000QGWY50,NASDAQ:BLUE
BBG000QFJ7H3,NYSE:OAS
BBG000Q9FZL4,NYSE:AER
BBG000Q5VCD4,NASDAQ:NCMI
BBG000Q4SFZ0,NASDAQ:SNCR
BBG000Q3JN03,NYSE:RF
BBG000Q26KW0,NASDAQ:AIMC
BBG000Q1R1Y9,NYSE:BERY
BBG000Q1GK24,NYSE:CNO
BBG000Q0SZJ2,NASDAQ:LOGM
BBG000Q0BPZ4,NYSE:CIT
BBG000PXZFW2,NYSE:WLK
BBG000PXGT62,NYSE:TPX
BBG000PXDL44,NASDAQ:LKQ
BBG000PX3XC0,NYSE:WLL
BBG000PW5VX1,NYSE:AR
BBG000PVRDL2,NYSE:WPM
BBG000PV2M48,NASDAQ:HURN
BBG000PTLGZ1,NYSE:LEA
BBG000PSKYX7,NYSE:V
BBG000PSJP22,NYSE:CVE
BBG000PRJ2Z9,NYSE:SPR
BBG000PPL3G9,NASDAQ:MNKD
BBG000PPFKQ7,NYSE:BR
BBG000PNF2V6,NASDAQ:KNDI
BBG000PMSK08,NYSE:BOX
BBG000P9D329,NASDAQ:WPRT
BBG000P2TYL8,NASDAQ:LPLA
BBG000P28YZ6,NYSE:KBR
BBG000P1K2X6,NASDAQ:GTLS
BBG000NV1KK7,NYSE:DG
BBG000NSHMZ7,NYSE:TRQ
BBG000NS26Q8,NYSE:HUN
BBG000NDYB67,NYSE:GM
BBG000N9MNX3,NASDAQ:TSLA
BBG000N7MXL8,NASDAQ:ETSY
BBG000N7KJX8,NASDAQ:DOCU
BBG000N2HDY5,NYSE:ANET
BBG000N0G2Z3,NYSE:ERF
BBG000MQ1SN9,NYSE:DVA
BBG000MM5VL9,NYSE:HLF
BBG000MM2P62,NASDAQ:FB
BBG000MDCQC2,NYSE:ABC
BBG000MBHNC8,NYSE:MOH
BBG000M6TR37,NASDAQ:SBNY
BBG000M5QDX0,NASDAQ:MNTA
BBG000M44VW8,NYSE:OC
BBG000M1R011,NYSE:NOW
BBG000LZZSW3,NASDAQ:IBKC
BBG000LR8515,NYSE:SBH
BBG000LNL298,NASDAQ:NUVA
BBG000LL9LQ5,NYSE:IAG
BBG000LD9JQ8,NASDAQ:WYNN
BBG000LC1FS4,NYSE:ATI
BBG000L8CBX4,NYSE:TDG
BBG000L4M7F1,NYSE:RMD
BBG000KLDTJ2,NASDAQ:WETF
BBG000KLB4Q1,NASDAQ:SWKS
BBG000KHWT55,NYSE:HPQ
BBG000KD2ZL5,AMEX:NGD
BBG000K88H58,NYSE:FCN
